function,classification,frontend_callers,function_to_function,docs_or_scripts_references,declared_in_config_toml,webhook_or_callback_signals,schedule_signals,external_reachability_excluded,proven_orphan,evidence_note
policy-evaluate,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
policy-validate,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
query-answer,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
rag-db-connect,active_internal,src/components/rag/RAGPanel.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
rag-items,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
rag-oauth-google,active_internal,src/components/rag/RAGPanel.tsx;src/components/rag/RAGUploadTabs.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
rag-oauth-microsoft,active_internal,src/components/rag/RAGPanel.tsx;src/components/rag/RAGUploadTabs.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
rag-s3-connect,active_internal,src/components/rag/RAGPanel.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
rag-test,active_internal,src/components/rag/RAGPanel.tsx,none,docs/AURA-DC-Build-Status.md;docs/AURA-DC-Security-Model.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt,no,no,no,no,no,in-repo caller or protocol signal present
rag-upload,active_internal,src/components/rag/RAGPanel.tsx;src/components/rag/RAGUploadTabs.tsx;src/lib/apiClient.ts,none,docs/AURA-DC-Build-Status.md;docs/AURA-DC-Security-Model.md;docs/audit/full_report.md,no,no,no,no,no,in-repo caller or protocol signal present
rag-urls,active_internal,src/components/rag/RAGPanel.tsx;src/components/rag/RAGUploadTabs.tsx;src/lib/apiClient.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
reco-selftest,active_internal,src/components/search/DiagnosticsModal.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md,no,no,no,no,no,in-repo caller or protocol signal present
recommendations-generate,active_internal,src/components/builder/GroundedRecommendationsCard.tsx,none,docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
recommendations-generate-stream,active_internal,src/components/shared/QuickRecommendations.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
runs-recent,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
search,active_internal,src/components/builder/IndustryMarketplaceStep.tsx;src/components/builder/ModelMarketplace.tsx;src/components/integrations/ZapierMarketplace.tsx,none,docs/AURA-DC-Security-Model.md;docs/DC_TWIN_TEST_REPORT.md;docs/GEMINI_3X_AUDIT_REPORT.md,no,no,no,no,no,in-repo caller or protocol signal present
search-suggestions,active_internal,src/hooks/useSearchSuggestions.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.b7.4e.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.tsv,no,no,no,no,no,in-repo caller or protocol signal present
systems-create,active_internal,src/lib/apiClient.ts;src/stores/builderStore.ts,supabase/functions/systems-create-from-template/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
systems-create-from-template,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
systems-delete,active_internal,src/lib/api/twins.ts;src/pages/Dashboard.tsx;src/pages/ManageAgents.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4c-summary.md,no,no,no,no,no,in-repo caller or protocol signal present
systems-update,active_internal,src/stores/builderStore.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
teams-invite,active_internal,src/components/teams/InviteTeamMemberModal.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
template-preview-chat,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
template-test-run,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
template-validate,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
templates-list,active_internal,src/components/builder/TemplateLibrary.tsx;src/lib/apiClient.ts;src/pages/AgentWorkspace.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
templates-seed,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
url-capture,active_internal,src/components/search/HealthCheckBadge.tsx,supabase/functions/url-recommendations/index.ts,docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
url-crawl,active_internal,none,supabase/functions/url-recommendations/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
url-recommendations,active_internal,src/components/search/RecommendationsPanel.tsx;src/hooks/useRecommendations.ts,none,docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
url-turbo-capture,active_internal,src/hooks/useRecommendations.ts,none,docs/CAPTURE_PERFORMANCE_AUDIT.md;docs/GEMINI_3X_AUDIT_REPORT.md;docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt,no,no,no,no,no,in-repo caller or protocol signal present
website-cache-clear,active_internal,src/components/search/CacheStatusBanner.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
website-cache-status,active_internal,src/components/search/CacheStatusBanner.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
website-scan,active_internal,src/components/scanner/WebsiteScanner.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
workflow-ai-suggestions,active_internal,src/hooks/useWorkflowSuggestions.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
workflow-run,active_internal,src/components/workflow/EnhancedWorkflowEditor.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4b-summary.md,no,no,no,no,no,in-repo caller or protocol signal present
workflow-save,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
workflow-simulate,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
zapier-action-execute,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
zapier-app-connect,active_internal,src/components/integrations/ZapierMarketplace.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-app-disconnect,active_internal,src/components/integrations/ZapierMarketplace.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
zapier-apps-detail,callback_or_webhook,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-apps-list,active_internal,src/components/integrations/ZapierMarketplace.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
zapier-apps-sync,active_internal,src/components/integrations/ZapierMarketplace.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,yes,no,no,in-repo caller or protocol signal present
zapier-auto-refresh,active_internal,src/hooks/useTokenRefresh.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4c-summary.md,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-connect,callback_or_webhook,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-disconnect,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
zapier-integration-status,active_internal,src/components/builder/BuilderIntegrationsHub.tsx;src/components/integrations/IntegrationStatusBadge.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
zapier-oauth-callback,active_internal,none,supabase/functions/zapier-oauth-start/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-oauth-connect,active_internal,src/components/integrations/ZapierIntegrationCard.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-oauth-start,active_internal,none,supabase/functions/zapier-app-connect/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-refresh-token,active_internal,src/hooks/useTokenRefresh.ts,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/approved-user-pilot-routes.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/b7.4c-summary.md,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-status,active_internal,src/components/builder/BuilderIntegrationsHub.tsx;src/hooks/useTokenRefresh.ts,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
zapier-test,callback_or_webhook,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-test-connection,active_internal,src/components/integrations/ZapierIntegrationCard.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
zapier-webhook,active_internal,none,supabase/functions/zapier-connect/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
zapier-webhook-trigger,callback_or_webhook,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,yes,no,no,no,in-repo caller or protocol signal present
